dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
BCI_IV_2a,7,v1_lda,max-prob,0.6006944444444444,0.6,0.3867032795702469,0.48554913294797686,0.5144508670520231,173
BCI_IV_2a,7,v1_lda,max-prob,0.6527777777777778,0.65,0.38182723379163486,0.5106382978723405,0.48936170212765956,188
BCI_IV_2a,7,v1_lda,max-prob,0.7013888888888888,0.7,0.3771566674959345,0.5297029702970297,0.47029702970297027,202
BCI_IV_2a,7,v1_lda,max-prob,0.75,0.75,0.37332730248452894,0.5416666666666667,0.4583333333333333,216
BCI_IV_2a,7,v1_lda,max-prob,0.8020833333333334,0.8,0.36827345301451997,0.5627705627705628,0.43722943722943725,231
BCI_IV_2a,7,v1_lda,max-prob,0.8506944444444444,0.85,0.36170618240708197,0.5836734693877551,0.4163265306122449,245
BCI_IV_2a,7,v1_lda,max-prob,0.9027777777777778,0.9,0.35679088513724516,0.6076923076923078,0.3923076923076923,260
BCI_IV_2a,7,v1_lda,max-prob,0.9513888888888888,0.95,0.3496704101351837,0.6131386861313868,0.38686131386861317,274
BCI_IV_2a,7,v1_lda,max-prob,1.0,1.0,0.340460812307495,0.6284722222222222,0.3715277777777778,288
BCI_IV_2a,8,v1_lda,max-prob,0.052083333333333336,0.05,0.5916802506217842,0.1333333333333333,0.8666666666666667,15
BCI_IV_2a,8,v1_lda,max-prob,0.10069444444444445,0.1,0.5351536740584132,0.1724137931034483,0.8275862068965517,29
BCI_IV_2a,8,v1_lda,max-prob,0.1527777777777778,0.15,0.4771135990446962,0.25,0.75,44
BCI_IV_2a,8,v1_lda,max-prob,0.2013888888888889,0.2,0.4656897581512749,0.2586206896551724,0.7413793103448276,58
BCI_IV_2a,8,v1_lda,max-prob,0.25,0.25,0.4561550279851651,0.2777777777777778,0.7222222222222222,72
BCI_IV_2a,8,v1_lda,max-prob,0.3020833333333333,0.3,0.44566147980968407,0.25287356321839083,0.7471264367816092,87
BCI_IV_2a,8,v1_lda,max-prob,0.3506944444444444,0.35,0.4304894824589573,0.2376237623762376,0.7623762376237624,101
BCI_IV_2a,8,v1_lda,max-prob,0.4027777777777778,0.4,0.4227878760122182,0.23275862068965514,0.7672413793103449,116
BCI_IV_2a,8,v1_lda,max-prob,0.4513888888888889,0.45,0.4164646641669887,0.2384615384615385,0.7615384615384615,130
BCI_IV_2a,8,v1_lda,max-prob,0.5,0.5,0.4078837148463504,0.27083333333333337,0.7291666666666666,144
BCI_IV_2a,8,v1_lda,max-prob,0.5520833333333334,0.55,0.40101561001998703,0.289308176100629,0.710691823899371,159
BCI_IV_2a,8,v1_lda,max-prob,0.6006944444444444,0.6,0.39224613929741853,0.2890173410404624,0.7109826589595376,173
BCI_IV_2a,8,v1_lda,max-prob,0.6527777777777778,0.65,0.38583751703859703,0.3085106382978723,0.6914893617021277,188
BCI_IV_2a,8,v1_lda,max-prob,0.7013888888888888,0.7,0.3770390344626741,0.3168316831683168,0.6831683168316832,202
BCI_IV_2a,8,v1_lda,max-prob,0.75,0.75,0.3658418665697806,0.3194444444444444,0.6805555555555556,216
BCI_IV_2a,8,v1_lda,max-prob,0.8020833333333334,0.8,0.35796587380451,0.3203463203463204,0.6796536796536796,231
BCI_IV_2a,8,v1_lda,max-prob,0.8506944444444444,0.85,0.34097607353754783,0.3387755102040816,0.6612244897959184,245
BCI_IV_2a,8,v1_lda,max-prob,0.9027777777777778,0.9,0.3288468878026045,0.35,0.65,260
BCI_IV_2a,8,v1_lda,max-prob,0.9513888888888888,0.95,0.3081620771831106,0.36861313868613144,0.6313868613138686,274
BCI_IV_2a,8,v1_lda,max-prob,1.0,1.0,0.27611438543218647,0.38541666666666663,0.6145833333333334,288
BCI_IV_2a,9,v1_lda,max-prob,0.05303030303030303,0.05,0.435783939093395,0.4285714285714286,0.5714285714285714,14
BCI_IV_2a,9,v1_lda,max-prob,0.10227272727272728,0.1,0.41575469445042645,0.4814814814814815,0.5185185185185185,27
BCI_IV_2a,9,v1_lda,max-prob,0.15151515151515152,0.15,0.4067099015787306,0.375,0.625,40
BCI_IV_2a,9,v1_lda,max-prob,0.20075757575757575,0.2,0.3989330448480089,0.4528301886792453,0.5471698113207547,53
BCI_IV_2a,9,v1_lda,max-prob,0.25,0.25,0.3917424105321725,0.4545454545454546,0.5454545454545454,66
BCI_IV_2a,9,v1_lda,max-prob,0.30303030303030304,0.3,0.38598329649975405,0.48750000000000004,0.5125,80
BCI_IV_2a,9,v1_lda,max-prob,0.3522727272727273,0.35,0.38256441665934554,0.5268817204301075,0.4731182795698925,93
BCI_IV_2a,9,v1_lda,max-prob,0.4015151515151515,0.4,0.37668933298468715,0.5471698113207547,0.4528301886792453,106
