run,dataset,subject,split,model,use_ea,calibrated,uncertainty_score,coverage_target,score_cutoff,n_trials,accuracy_all,macro_f1,brier,ece,selective_accuracy,selective_risk,coverage_observed
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,1,A0xT_to_A0xE,spatial_uncalibrated,True,False,max-prob,0.6,0.592385024582769,288,0.7048611111111112,0.688361256941307,0.448673947027127,0.1366453744214741,0.7456647398843931,0.2543352601156069,0.6006944444444444
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,1,A0xT_to_A0xE,spatial_calibrated,True,True,max-prob,0.6,0.6193450369455883,288,0.7048611111111112,0.688361256941307,0.4480922018663535,0.1163810553132185,0.7398843930635838,0.2601156069364162,0.6006944444444444
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,1,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,True,max-prob,0.6,0.6052803968228199,288,0.6666666666666666,0.6423458479533246,0.4706189789506814,0.1036927835432226,0.7167630057803468,0.2832369942196532,0.6006944444444444
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,2,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5384421341504679,288,0.25,0.1,0.8471197530537729,0.3232658928739998,0.3468208092485549,0.653179190751445,0.6006944444444444
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,2,A0xT_to_A0xE,eegnet_uncalibrated,True,False,max-prob,0.6,0.2769212413406928,288,0.3923611111111111,0.3917895064382052,0.7216261172268617,0.1069306728300163,0.4797687861271676,0.5202312138728324,0.6006944444444444
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,2,A0xT_to_A0xE,eegnet_calibrated,True,True,max-prob,0.6,0.2879311809475833,288,0.3923611111111111,0.3917895064382052,0.7127732084642024,0.0934897229196068,0.4855491329479768,0.5144508670520231,0.6006944444444444
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,2,A0xT_to_A0xE,spatial_uncalibrated,True,False,max-prob,0.6,0.4618189738378006,288,0.5590277777777778,0.5344799617560354,0.5671868219689199,0.0559412118775903,0.6358381502890174,0.3641618497109826,0.6006944444444444
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,2,A0xT_to_A0xE,spatial_calibrated,True,True,max-prob,0.6,0.4169113040272102,288,0.5590277777777778,0.5344799617560354,0.5645819904111353,0.0513275169231393,0.6416184971098265,0.3583815028901734,0.6006944444444444
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,2,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,True,max-prob,0.6,0.439991945262473,288,0.5520833333333334,0.5286397373262156,0.5661663531725355,0.0400114945177695,0.6358381502890174,0.3641618497109826,0.6006944444444444
local_iiia_lda_entropy,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,entropy,0.6,-1.047029945452232,288,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.815028901734104,0.1849710982658959,0.6006944444444444
local_iiia_lda_entropy,BCI_IV_2a,2,A0xT_to_A0xE,v1_lda,True,True,entropy,0.6,-1.1458759888149916,288,0.25,0.1,0.8471197530537729,0.3232658928739998,0.3410404624277456,0.6589595375722543,0.6006944444444444
local_iiia_lda_entropy,BCI_IV_2a,3,A0xT_to_A0xE,v1_lda,True,True,entropy,0.6,-0.9884376673871887,288,0.7638888888888888,0.7643295108035939,0.3728527866072106,0.1590975697526097,0.8786127167630058,0.1213872832369942,0.6006944444444444
local_iiia_lda_entropy,BCI_IV_2a,4,A0xT_to_A0xE,v1_lda,True,True,entropy,0.6,-1.3413201417860907,288,0.25,0.1,0.7596510240534082,0.1112183392174765,0.2427745664739884,0.7572254335260116,0.6006944444444444
local_iiia_lda_entropy,BCI_IV_2a,5,A0xT_to_A0xE,v1_lda,True,True,entropy,0.6,-1.0215774782397726,288,0.3055555555555556,0.2072640278381905,0.8768984671065428,0.1320728989709032,0.3236994219653179,0.676300578034682,0.6006944444444444
local_iiia_lda_entropy,BCI_IV_2a,6,A0xT_to_A0xE,v1_lda,True,True,entropy,0.6,-1.1322842320658983,288,0.25,0.1,0.8584633216808971,0.292135895923152,0.3005780346820809,0.699421965317919,0.6006944444444444
local_iiia_lda_entropy,BCI_IV_2a,7,A0xT_to_A0xE,v1_lda,True,True,entropy,0.6,-1.2042274504491242,288,0.3715277777777778,0.2912243191591017,0.616494081391787,0.1553759622190216,0.3988439306358382,0.6011560693641618,0.6006944444444444
